job_title,company,job_location,job_summary,post_date,today,job_salary,job_url
Technology Lead : Data Science I Machine Learning,Infosys Limited,"Bengaluru, Karnataka","A day in the life of an Infoscion • As part of the Infosys delivery team, your primary role would be to interface with the client for quality assurance, issue…",PostedPosted 30+ days ago,2022-07-26,,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C0E1kVSxZWqg_3rwn6zUnYbszXdTQpf9L-zhTFANv_MIJ-LsmYd4ECt-y6Uekf4eM19essd7VgIZ8A7MelpJqJhHdKSXOrC1VomqaJ7JbsMZI7-ZHSyJlppWaXK4l0SpULY8VDTK-5McWZiI0Ir2xF9oydd6xKAE6i0Kw1UZX8I6SHefQrHNisgVg8SFJYoCbobIVG8zi3pcLds657Lui6koZuwDIm8pJZQN1AtvZuCHSiXqiFvzJzKLPCophq2h-kBHWxab69d-Wc-7QxhbAVhxvzf7F77K64QDpXmcxB6592kSsogBDYyAICCX9mYCJBefETR0ZdIyBRuyH-MP4Lnr8i6fM2S9rsAsV3PwznLu7MT1krgWXlosAdH-YwDaXeFOOOp1UHPIUpsFq_ezxrzyh7K7L39aZd_O3vfMZLQ4FoI1_H2cIy6LnQQY4yR56dkyOf-a8tH9Tb0h4d4M0Lh-eP30_x2hvd99h2ykr9o4wYUafHqPwc&xkcb=SoCo-_M3bcmIYTWHF50KbzkdCdPP&p=0&fvj=0&vjs=3
"Software Engineer, Machine Learning",Google,"Bengaluru, Karnataka",2 years of relevant work experience in machine learning software development and architectures for machine learning (with focus on deep learning).,PostedPosted 30+ days ago,2022-07-26,,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B6LV1r5rpdxHXQFKF2tEJssbaTH9yAUMN6EqMbe2y0QSZpXHZGWWZrzev39fli2Y9JkOyp7NKKT_yBMXV6G8w7hD2ouPM3Jda8d11fpHwuXp-cPL9OmWCsJl5evC_qayPAzCnMgNmIWNROHeixkMYSSoKaxvk4iU4skQ3meGuMDp23BegHFaYji8sM5is94rn5er37d-iElobSAE95_OPo5zi-WVveJny5Y2QXRul90kuBEiZ2utRih5ghEL_QGnrSrzpTXE9yfx_63o1hBFrDvW7iMbRlvadhRkaq8ZyucekJv46nHlzdI1mznGZjFVhdNXs6Bfu0DX8c4MsP2rirPeyO-x8kRhztxS_5bkDjb3fSmVqJfNGdPJUiwfwbThC20LitOlaZibF8jBcQVDKilQbk--TXu4C-pNPJ08Rsps9CkNWLO4JaVpkb-zwv7-KbDF2DNYe3VVqJ-1NB8-RI731AZ7auC7Np7M6xuK3IzaZRCg-eQrgvXMOjvoZN_8OcW7hl5znOuGnMhsvkMG9GfqeKAK2qFfgab5yrdxw7RPyjvLnw0i7JmL-F7-79xD3793fItxzx3lv1UpDLnPpFbDwy1IJ2znqv5RZVPUqDya9SVW7z_oU505GOeGrcHOFMfrPUYRuOiNsTHY9LvW4KOAJxMi-BjLsNN30TOxnBLBW3bOYe8fensg12dK-YTELzVVJT-c2E4Pv0OQZcYgay4maRzcp-V3paHXdDOUoP6grMTt8Hv6-LQXPWiGauKVI=&xkcb=SoCB-_M3bcmIYTWHF50IbzkdCdPP&p=1&fvj=0&vjs=3
Experienced Over The Shoulder Mechanic- C17,BOEING,"Remote in Air Force Station, Karnataka","This position will focus on supporting the Boeing Defense India (BDI) business organization.,He must be willing to work flexible hours (early or late as needed)…",PostedPosted 3 days ago,2022-07-26,,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D63QRoR8NHes0BU6XF05SdLAJ2qRn_ksMIVtdRlLGFB9iUONA4FrCC6w33WEuBxmYJn7VGvt0-NxoR-fQIspZEdaRKaJgq5PL55VSV88M1YjNHw8_V5H7NNKNkD6wBesdR4Dq5nOenQddIDYNSw_DoJMR8BaOdaeaEV_a_va0Tf18Y2JpaPPLd50e0wbVUJFeJ3mysIAtMIWQdhoS0FPVn9AKjdeza-ijRX6twmkTaU4IE2x2W4CF5T2yD2yHHJW_-h7RP_6MZ1Cb5nrUepYEMq7or_-xPvBfX-aeOqsT2PcdPkuqtL-rx73lsFub5DsdremjdfSxSUDVVZiEO9Wn6Bhd8fxGAOT22CFN3J3R-hBuurcPfnUKEyVweZ6RP5DT9uHq8vejJ-jGrtcfd8bar9deqRxHcvk7wHrOkffnStIm7JA90phFP84vruzF3NzrAwVKFEHLUevNX6NzihaW-0MXnIpvMkWWLdJW5kbsNbdOHjxQwVaEY9MlnkzhJaYjOhNq2SfrBgvl5_RgJExSvfRQPleQKVqE6RRYHYjHg9ckcbMJpnYgAuPKqABJSZBhUO3GN0QI1tpptl8p9E0dxnat3aOgt_Kde3cN7wmVcwAbxcVXizZvZbWTTwHMaRRpjQHUgrqlhdkJ6nSDSK8sYNHAbXpYVX3fzsQb0XDLouSFN9hRXVjoo&xkcb=SoDt-_M3bcmIYT2HF50KbzkdCdPP&p=2&fvj=0&vjs=3
Data Scientist,Infosys Limited,"Bengaluru, Karnataka","Anchor ML development track in a client project • Data collection, profiling, EDA & data preparation • AI Model development, experimentation, tuning &…",PostedPosted 30+ days ago,2022-07-26,,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C0E1kVSxZWqg_3rwn6zUnYbszXdTQpf9L-zhTFANv_MIJ-LsmYd4ECt-y6Uekf4eOdPmgTDnbjzo9rcAJ1EbSGllEqVYrC95_7DKxUdJXEqlOy3Rg9ySTxhA0SLrIZvboku6Josb20FzCd3BjJJaRBnmFR0UFH_7rrxIsSKWGAeK16oJnjWeT54a9qY3wfQ-SWjotg2xQDnNtOGvQHqPT-cXoQJ8aeqBMg-gXflrqhwsq4Kug9Zli9BEbXQdfNPk-q3n4wfe1W8W4eEGVg2pO3kQYiGwaye87qbeaQpycRIsfmwvYBrZGwUepKiJJ1UP-C5PJIIDslOaud9-cb62TI6tcUryVt7GPIYPMjdtg9IZAW2gLLpRs5b_vHEd07hj2Xbp56FDKl6SNPY4jqnlniir8oNQrVMY_12A4wj-Dpstc4Y3_zXo6I1i_fOLtoPRfT0G_WQMrIGZe_mC-x7kcic4jUKEK4urIY_hBfJf-kwWdT2fjQ3E2TbdaRnfrZBCQ=&xkcb=SoDE-_M3bcmIYT2HF50IbzkdCdPP&p=3&fvj=0&vjs=3
Python Developer,Infosys Limited,"Bengaluru, Karnataka","Should have a decent understanding of the Machine learning algorithms such as the clustering and classification algorithms, experience in model management, and…",PostedPosted 30+ days ago,2022-07-26,,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C0E1kVSxZWqg_3rwn6zUnYbszXdTQpf9L-zhTFANv_MIJ-LsmYd4ECt-y6Uekf4eOZfXrYYcl2LVnH9uO2Y_DyfLCrDVXP07VPS_M-941xyRlmx2SVMRhPJFzseCG_0yG17Dm9CgIFL2QD7EdLfFaLsAY1BBrtK43WlJZwD-g0X60dVGlsdU6ODcXXozDxYJm8EJWxC313UrCQI6Ni2DxK9EYcJR_uXxpHY76ZO43CHZqRtam1ElftYk0X_qsD13pKux-Xzx_yGsMAWl1DCvNWP2g6NcW-iNFeBXbxlfkFP44x4GvakRfPrzmTKIbuTNMfspnC0Gnwe5_hvIePcumEu6Ou4VQsgumrC1YwbVS-LVBdDkfpt0w-JEGfr4L-zAu3BuEsXH34SRwHAyM58znjCuAWSUdTP-xbE9Fc18-qn-5fN6oHLXdMF6u8uvM8c8nHyWk8sGW2BuDl2RqJ7hV7h5SQ6I8szdcPBhjBiPy_ykZYYK7HrxA1pgdwg6eN7Z8=&xkcb=SoD--_M3bcmIYT2HF50ObzkdCdPP&p=4&fvj=0&vjs=3
Senior Data Analyst,AdTech Holding,"Bengaluru, Karnataka","Work on the development of the PropellerAds product: conduct exploratory analysis - put forward hypotheses, select metrics, and conduct research and experiments…",EmployerActive 5 days ago,2022-07-26,"₹80,045 a month",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dy_xM5q855570cmKlZaKpuG5o3QOkhb4A2z5e73SzmRgPAtRgBkSBXAspy_T6R1idBGmDxz3JGJWtuNZczqXCPGspCoENFJiWlAj78ROqkQ0efGem45bw_CyQYKvL_IKGfeskhOj6xsb80wN0iLYX_w6rn84DGjbSuUm4GpJQlnDlVBWpwtylFNbv2hsOG9hlW_hQKVRfMxTR6j_qS7oBc4O5Pw2z5qmYu3svJX5vkbeb6kxmezifB0hPGHBVRAUz-_rR_g2KvTPlOc2NTEvyfsP6p3Nt2IEm39iA1bhrE30ZaG-0G1ZoUBGEHVlcTgL7b5FizT1Ywwj5l8pXkjO-Z08re9G9LEkBye1WMz5RzUNwMBzI31D0Hu4qRrVPFkKWwpkBOdTDBlrX-LbW9CXtz2gYewQ7CajmCrrmjvPVCySIV2K_qEAHZvBAPyBkIKOglwq9KLAWm-gMKf_QTjKCqYde5mHSs41EDQ5uogQ6mkQ==&xkcb=SoBj-_M3bcmIYSWHF50KbzkdCdPP&p=5&fvj=1&vjs=3
Machine Learning Engineer,Oracle,"Bengaluru, Karnataka+1 location","Good understanding of deep learning frameworks (like Tensorflow, Keras or PyTorch).,Design, develop, troubleshoot and debug software programs for databases,…",PostedPosted 14 days ago,2022-07-26,,https://in.indeed.com/rc/clk?jk=c6995197f480f8a8&fccid=cd22d01053af7669&vjs=3
Machine Learning-Python,Atos,"Pune, Maharashtra","Run machine learning tests and experiments.,Develop machine learning applications according to requirements.,Machine Learning, Data Science, Python, algorithm,…",PostedPosted 3 days ago,2022-07-26,"₹18,00,000 - ₹22,00,000 a year",https://in.indeed.com/company/Atos/jobs/Machine-Learning-Python-79357b5a63819785?fccid=ee6a99db163236c2&vjs=3
Data Analytics,Infochola,India,"Very good experience in Python/R, SQL or on related machine learning technologies.,Responsible for designing & developing analysis with Dashboards,…",PostedJust posted,2022-07-26,,https://in.indeed.com/rc/clk?jk=f8004def0a1a2c31&fccid=47d6d98c145c184f&vjs=3
Machine Learning Data Engineer,BlueOptima,"Remote in Bengaluru, Karnataka",Minimum of 3+ years experience in developing solutions with at least 2+ years using Machine learning Algorithms in industry.,PostedPosted 1 day ago,2022-07-26,,https://in.indeed.com/rc/clk?jk=976dcdb5ae5ccd5d&fccid=57d9d97a05c4ff41&vjs=3
